"Zone","Treatment","Enzyme","mean_deviation","se_deviation","mean_percent_change","se_percent_change"
"Pioneer zone","+1.5°C","CHI",-62.4645371101525,22.2997021821538,-47.8506251717164,7.48778934907007
"Pioneer zone","+1.5°C","GLU",29.7537624793435,88.9664137564701,24.4586016867661,34.6652269712835
"Pioneer zone","+1.5°C","LEU",-270.538300970369,28.5058910632472,-35.9849947113844,5.15413767646285
"Pioneer zone","+3.0°C","CHI",-38.3932421350952,20.8017590996782,-20.7908272106279,12.7864070317135
"Pioneer zone","+3.0°C","GLU",-118.394377259741,50.5421842420274,-35.4983221780697,15.2853725724481
"Pioneer zone","+3.0°C","LEU",-91.0146750281373,29.2488791093095,-12.642592930943,4.08370399332461
"Low marsh","+1.5°C","CHI",-72.9144637742473,32.023230070748,-29.1923216375975,7.64796192344768
"Low marsh","+1.5°C","GLU",-208.594618847631,62.5999435824208,-42.9618882192862,12.877650526624
"Low marsh","+1.5°C","LEU",-179.97952979394,82.8675925861167,-19.9094013394751,9.20646058877191
"Low marsh","+3.0°C","CHI",79.4968992512633,73.0553149096466,27.6266117057534,29.4788128966404
"Low marsh","+3.0°C","GLU",-105.453493281929,65.5381854408049,-25.6362959492029,14.0362646578705
"Low marsh","+3.0°C","LEU",-128.931001299343,53.7201978504499,-14.1182342566432,6.03749437824267
"High marsh","+1.5°C","CHI",-1.1896495091661,31.9958223754562,2.38607417865284,10.2635219071978
"High marsh","+1.5°C","GLU",35.287491325724,139.599048448263,22.0817266390217,29.187441392199
"High marsh","+1.5°C","LEU",43.4773495677424,223.403963646598,3.08445586316863,16.0398597518628
"High marsh","+3.0°C","CHI",123.407074149447,63.9269288384254,74.3801707711592,46.5073070611258
"High marsh","+3.0°C","GLU",-88.3356824849236,112.406438808316,1.90197890215994,16.260546697731
"High marsh","+3.0°C","LEU",-390.316267802433,106.92825891228,-28.2315250828917,7.64428921625018
