"Zone","Treatment","Layer","Plot","CHI","GLU","LEU","Activity_C","Activity_N","CN_ratio","Elevation_mean"
"High marsh","+1.5°C","Subsoil
(40-100 cm)","371",130.391434000813,375.149163640648,1476.15794832448,375.149163640648,1606.54938232529,0.233512376132294,34.5
"High marsh","+1.5°C","Subsoil
(40-100 cm)","381",170.693978038258,443.730168720705,2159.79195941429,443.730168720705,2330.48593745254,0.190402422769282,26
"High marsh","+1.5°C","Subsoil
(40-100 cm)","391",125.33993661659,1002.04433119901,844.13488464196,1002.04433119901,969.474821258549,1.03359500342482,23.5
"High marsh","+1.5°C","Topsoil
(0-30 cm)","371",289.573822988929,830.027099994653,1448.16748929122,830.027099994653,1737.74131228015,0.477647100940211,34.5
"High marsh","+1.5°C","Topsoil
(0-30 cm)","381",482.980860125928,672.282394811608,1887.50296017904,672.282394811608,2370.48382030496,0.283605561469354,26
"High marsh","+1.5°C","Topsoil
(0-30 cm)","391",264.707532786474,1174.89750163796,776.146372902783,1174.89750163796,1040.85390568926,1.12878233459665,23.5
"High marsh","+3.0°C","Subsoil
(40-100 cm)","372",252.657852202619,587.773983517914,1438.53330180166,587.773983517914,1691.19115400428,0.347550294433733,39.5
"High marsh","+3.0°C","Subsoil
(40-100 cm)","382",513.395050685314,387.776753590103,1160.15875488855,387.776753590103,1673.55380557387,0.231708566703138,12.5
"High marsh","+3.0°C","Subsoil
(40-100 cm)","392",121.694381123472,543.352212583402,678.35545264459,543.352212583402,800.049833768062,0.679147960101848,25.5
"High marsh","+3.0°C","Topsoil
(0-30 cm)","372",408.288231728054,766.181048960272,1011.8573030435,766.181048960272,1420.14553477155,0.539508825117364,39.5
"High marsh","+3.0°C","Topsoil
(0-30 cm)","382",582.297739839504,529.567081436051,789.251302504249,529.567081436051,1371.54904234375,0.386108746451463,12.5
"High marsh","+3.0°C","Topsoil
(0-30 cm)","392",332.934650929707,941.740537052954,910.983795650163,941.740537052954,1243.91844657987,0.757075787116311,25.5
"High marsh","ambient","Subsoil
(40-100 cm)","370",225.218907188813,331.270905312109,1241.89101714689,331.270905312109,1467.1099243357,0.225798285334418,24.5
"High marsh","ambient","Subsoil
(40-100 cm)","380",92.9855232371867,501.923618258075,1056.62303029333,501.923618258075,1149.60855353052,0.436603935066974,24.5
"High marsh","ambient","Subsoil
(40-100 cm)","390",74.6329234760962,312.6329931919,1966.47425832914,312.6329931919,2041.10718180523,0.153168337252821,25.5
"High marsh","ambient","Topsoil
(0-30 cm)","370",357.83676666585,885.054603378142,1188.3844296002,885.054603378142,1546.22119626605,0.572398441772399,24.5
"High marsh","ambient","Topsoil
(0-30 cm)","380",274.07013579157,1175.22697036203,941.486315913705,1175.22697036203,1215.55645170527,0.966822206170131,24.5
"High marsh","ambient","Topsoil
(0-30 cm)","390",446.081205252473,1080.29662154798,1936.17846606405,1080.29662154798,2382.25967131652,0.453475594854431,25.5
"Low marsh","+1.5°C","Subsoil
(40-100 cm)","241",75.9101723708108,309.496989699756,913.595231839191,309.496989699756,989.505404210002,0.312779483955271,-2.5
"Low marsh","+1.5°C","Subsoil
(40-100 cm)","251",81.5415409012564,33.9697143438292,587.64787796723,33.9697143438292,669.189418868487,0.0507624797792942,-20
"Low marsh","+1.5°C","Subsoil
(40-100 cm)","261",100.138727883057,239.44616319099,467.168014148766,239.44616319099,567.306742031823,0.422075299745967,-4
"Low marsh","+1.5°C","Topsoil
(0-30 cm)","241",148.116561957587,364.986983416465,1040.18354671496,364.986983416465,1188.30010867255,0.307150509162363,-2.5
"Low marsh","+1.5°C","Topsoil
(0-30 cm)","251",320.16148055893,187.584106344805,771.495454352893,187.584106344805,1091.65693491182,0.171834301002225,-20
"Low marsh","+1.5°C","Topsoil
(0-30 cm)","261",338.789172094396,455.301297976194,622.753533738438,455.301297976194,961.542705832833,0.473511259785219,-4
"Low marsh","+3.0°C","Subsoil
(40-100 cm)","242",267.081962417993,158.395439568539,915.794991090158,158.395439568539,1182.87695350815,0.13390694534945,-10
"Low marsh","+3.0°C","Subsoil
(40-100 cm)","252",40.7320961367904,118.390163908441,547.969354545235,118.390163908441,588.701450682025,0.201103910600667,-15.5
"Low marsh","+3.0°C","Subsoil
(40-100 cm)","262",128.126808912362,339.518667972954,788.984177432547,339.518667972954,917.110986344909,0.370204558693692,-1
"Low marsh","+3.0°C","Topsoil
(0-30 cm)","242",791.827165613003,381.844454891046,923.570234952077,381.844454891046,1715.39740056508,0.222598247359626,-10
"Low marsh","+3.0°C","Topsoil
(0-30 cm)","252",374.671597719062,422.77528369193,755.873766451847,422.77528369193,1130.54536417091,0.373956938916798,-15.5
"Low marsh","+3.0°C","Topsoil
(0-30 cm)","262",376.686203119889,788.707998333339,776.9423052572,788.707998333339,1153.62850837709,0.683675890987545,-1
"Low marsh","ambient","Subsoil
(40-100 cm)","240",92.8721408111228,343.870498651818,926.329816133038,343.870498651818,1019.20195694416,0.337391913652554,-4
"Low marsh","ambient","Subsoil
(40-100 cm)","250",67.8377143090257,257.227021292255,645.996138769823,257.227021292255,713.833853078849,0.36034578660399,-6
"Low marsh","ambient","Subsoil
(40-100 cm)","260",203.760725946615,364.346408788971,1057.29578665208,364.346408788971,1261.0565125987,0.288921555179277,-0.5
"Low marsh","ambient","Topsoil
(0-30 cm)","240",257.789601421919,728.681093199223,1016.36503031845,728.681093199223,1274.15463174037,0.571893767873306,-4
"Low marsh","ambient","Topsoil
(0-30 cm)","250",350.357429158479,553.248075479229,813.113158993513,553.248075479229,1163.47058815199,0.475515308348263,-6
"Low marsh","ambient","Topsoil
(0-30 cm)","260",529.526826764358,594.979870646328,1023.62090665822,594.979870646328,1553.14773342257,0.383080023775464,-0.5
"Pioneer zone","+1.5°C","Subsoil
(40-100 cm)","111",11.5297978282064,458.646221638809,316.502878303237,458.646221638809,328.032676131444,1.39817236211867,-24
"Pioneer zone","+1.5°C","Subsoil
(40-100 cm)","121",27.8623934363813,337.406817125228,328.661519194233,337.406817125228,356.523912630614,0.946379205354472,-39
"Pioneer zone","+1.5°C","Subsoil
(40-100 cm)","131",15.0995277289817,77.2057594344323,372.855578603886,77.2057594344323,387.955106332867,0.199006942231582,-20.5
"Pioneer zone","+1.5°C","Topsoil
(0-30 cm)","111",120.032698525272,285.30525316916,666.665423422288,285.30525316916,786.69812194756,0.36266166806507,-24
"Pioneer zone","+1.5°C","Topsoil
(0-30 cm)","121",81.9600559450653,699.431669177412,643.098163411426,699.431669177412,725.058219356491,0.9646558724597,-39
"Pioneer zone","+1.5°C","Topsoil
(0-30 cm)","131",104.890255148378,252.454728970154,835.239035719906,252.454728970154,940.129290868284,0.268531925791816,-20.5
"Pioneer zone","+3.0°C","Subsoil
(40-100 cm)","112",17.3614351932727,47.3802918368304,556.665755945172,47.3802918368304,574.027191138445,0.0825401523974204,-23
"Pioneer zone","+3.0°C","Subsoil
(40-100 cm)","122",40.298945225985,226.165903110799,508.217625896241,226.165903110799,548.516571122226,0.412322826725324,-19
"Pioneer zone","+3.0°C","Subsoil
(40-100 cm)","132",32.7920954941195,95.5032867171393,457.625909662511,95.5032867171393,490.41800515663,0.194738540822206,-46
"Pioneer zone","+3.0°C","Topsoil
(0-30 cm)","112",193.293158042625,126.663508425707,1012.35280429902,126.663508425707,1205.64596234164,0.105058626149005,-23
"Pioneer zone","+3.0°C","Topsoil
(0-30 cm)","122",123.23111670984,389.634904475486,873.893559191555,389.634904475486,997.124675901394,0.390758461697138,-19
"Pioneer zone","+3.0°C","Topsoil
(0-30 cm)","132",98.8257477967865,336.213716514729,831.408699313868,336.213716514729,930.234447110655,0.361429011319698,-46
"Pioneer zone","ambient","Subsoil
(40-100 cm)","110",36.3376416887688,256.811393333263,330.629506197441,256.811393333263,366.967147886209,0.699821209643801,-33
"Pioneer zone","ambient","Subsoil
(40-100 cm)","120",33.2204144664448,92.9848926159838,401.87875141885,92.9848926159838,435.099165885295,0.213709654962881,-40
"Pioneer zone","ambient","Subsoil
(40-100 cm)","130",27.2274750041487,197.469932401494,1128.47591718036,197.469932401494,1155.70339218451,0.170865581720096,-29
"Pioneer zone","ambient","Topsoil
(0-30 cm)","110",109.574408562649,347.705438689346,599.173111656117,347.705438689346,708.747520218766,0.490591400703627,-33
"Pioneer zone","ambient","Topsoil
(0-30 cm)","120",281.698438568235,307.613364788207,840.91653625532,307.613364788207,1122.61497482355,0.274015020008579,-40
"Pioneer zone","ambient","Topsoil
(0-30 cm)","130",248.103572982953,729.342852810841,1485.1785817691,729.342852810841,1733.28215475206,0.420787146980794,-29
